# ----------------------------------------------
# --- Station Static MIB Initialization File ---
# ----------------------------------------------
# 2013 Oct 31 by J. Dowell
#  -- Swapped the ARX_ANT/DP1_ANT values for stand #259 (LEDA Outrigger #3) 
#     with #203.
#  -- Swapped the ARX_ANT/DP1_ANT values for stand #257 (LEDA Outrigger #1)
#     with #198.
#  -- The FEE installed Stand #9 *may* be bad.
# 2013 Aug 15 by J. Dowell
#  -- Marked stand #86 as suspect (promoted from bad).
#  -- Swapped the ARX_ANT/DP1_ANT values for stands #257 and #260 
#     since they are swapped at the site.
# 2013 Mar 10 by J. Dowell
#  -- Updated the pointing correction terms
# 2013 Mar 06 by J. Dowell
#  -- Looks like there was a mixup in the prevous version with the lengths of
#     the LEDA outrigger cables.  This corrects that.
# 2013 Mar 05 by J. Dowell
#  -- Updated the stretch factors to take into account the LEDA64 spitter
# 2013 Feb 28 by J. Dowell
#  -- Looks like there was a bug in the LSL common.stations.Cable model with
#     regards to the calculation of the dispersive delay.  Updated the values 
#     for the five outrigger cable lengths.
#  -- Applied a new calibration solution using self-cal. on TBW data
#  -- Zeroed out the pointing correction
# 2013 Jan 23 by J. Dowell
#  -- Removed the extra ARB_ANT lines that filled out the last half of ARX 
#     board #33
# 2013 Jan 22 by J. Dowell
#  -- Added back in the LEDA-32 antennas
#  -- Added in LEDA outriggers #1 (stand #257), #2 (stand #260), and #3 (stand #259)
#  -- Replaced Stand #25 with LEDA outrigger #5
#  -- Updated the RPD and SEP cable names for the outriggers
#  -- Updated the PDU port mappings to be consistent with the July 2012 
#     reorganization e-mail from J. Craig
# 2012 Oct 24 by J. Dowell
#  -- Incorporated the latest info. on the status of good dipoles;  removed 12
# 2012 Sep 24 by J. Dowell
#  -- Updated the "PC_" values with the results of the new pointing correction
# 2012 Aug 29 by J. Dowell
#  -- Updated the "PC_" values with the results of the new pointing correction
# 2012 Aug 06 by J. Dowell
#  -- Set the "PC_" values to something that works for CygA
#  -- Updated the ARB_ID listings for the ARX board swaps
#  -- Updated the ANT_STAT listsings for antennas that have no signal and/or 
#     calibration
# 2012 July 02 by S. Ellingson 
#  -- Added "PC_" (pointing correction) keywords, set to defaults
#  -- Updated FORMAT_VERSION to 7
# 2012 May 16 by J. Dowell
#
# Search "FIXME" for things that need work

FORMAT_VERSION 7
STATION_ID VL
GEO_N   +34.070 # N Lat [deg]
STD_LZ[21]    +3.148
STD_LX[22]    +7.110
STD_LY[22]   -46.343
STD_LZ[22]    +3.008
STD_LX[23]    -6.881
STD_LY[23]   -49.085
STD_LZ[23]    +3.046
STD_LX[24]    +6.204
STD_LY[24]   -41.284
STD_LZ[24]    +2.759
STD_LX[25]    -3.054
STD_LY[25]   -36.569
STD_LZ[25]    +2.660
STD_LX[26]    +4.203
STD_LY[26]   -32.959
STD_LZ[26]    +2.552
STD_LX[27]    -8.155
STD_LY[27]   -32.186
STD_LZ[27]    +2.532
STD_LX[28]    +6.964
STD_LY[28]   -26.062
STD_LZ[28]    +2.364
STD_LX[29]    -6.762
STD_LY[29]   -27.368
STD_LZ[29]    +2.394
STD_LX[30]    +5.986
STD_LY[30]   -21.063
STD_LZ[30]    +2.167
STD_LX[31]    -3.856
STD_LY[31]   -21.789
STD_LZ[31]    +2.183
STD_LX[32]    +4.505
STD_LY[32]   -13.821
STD_LZ[32]    +1.962
STD_LX[33]    -4.929
STD_LY[33]   -14.887
STD_LZ[33]    +1.995
STD_LX[34]    +5.390
STD_LY[34]    -8.226
STD_LZ[34]    +1.763

# FIXME
# This is the *real* Stand #35
#STD_LX[35]    -5.805
#STD_LY[35]    -9.953
#STD_LZ[35]    +1.844
# This is LEDA Outrigger #5
STD_LX[35]  +241.373
STD_LY[35]   -58.617
STD_LZ[35]    +2.882

STD_LX[36]    +4.340
STD_LY[36]    -3.499
STD_LZ[36]    +1.591
STD_LX[37]    -7.935
STD_LY[37]    -5.207
STD_LZ[37]    +1.738
STD_LX[38]    +7.086
STD_LY[38]    +0.991
STD_LZ[38]    +1.434
STD_LX[39]    -6.795
STD_LY[39]    +2.810
STD_LZ[39]    +1.467
STD_LX[40]    +3.345
STD_LY[40]   +11.245
STD_LZ[40]    +1.127
STD_LX[41]    -4.704
STD_LY[41]    +8.751
STD_LZ[41]    +1.328
STD_LX[42]    +6.985
STD_LY[42]   +15.420
STD_LZ[42]    +1.006
STD_LX[43]    -5.886
STD_LY[43]   +16.536
STD_LZ[43]    +1.048
STD_LX[44]    +4.042
STD_LY[44]   +19.519
STD_LZ[44]    +0.930
STD_LX[45]    -7.739
STD_LY[45]   +21.112
STD_LZ[45]    +0.829
STD_LX[46]    +4.926
STD_LY[46]   +25.539
STD_LZ[46]    +0.706
STD_LX[47]    -5.252
STD_LY[47]   +25.474
STD_LZ[47]    +0.664
STD_LX[48]    +6.988
STD_LY[48]   +30.120
STD_LZ[48]    +0.450
STD_LX[49]    -4.715
STD_LY[49]   +31.308
STD_LZ[49]    +0.406
STD_LX[50]    +7.595
STD_LY[50]   +37.069
STD_LZ[50]    +0.215
STD_LX[51]    -5.881
STD_LY[51]   +38.483
STD_LZ[51]    +0.299
STD_LX[52]    +6.035
STD_LY[52]   +41.813
STD_LZ[52]    +0.147
STD_LX[53]    -6.039
STD_LY[53]   +44.339
STD_LZ[53]    +0.157
STD_LX[54]    +5.269
STD_LY[54]   +54.707
STD_LZ[54]    -0.031
STD_LX[55]    -7.524
STD_LY[55]   +53.539
STD_LZ[55]    -0.047
STD_LX[56]   +13.010
STD_LY[56]   -51.997
STD_LZ[56]    +3.181
STD_LX[57]   -12.820
STD_LY[57]   -50.553
STD_LZ[57]    +3.058
STD_LX[58]   +12.505
STD_LY[58]   -46.580
STD_LZ[58]    +2.984
STD_LX[59]    -9.738
STD_LY[59]   -45.061
STD_LZ[59]    +2.892
STD_LX[60]   +10.251
STD_LY[60]   -38.298
STD_LZ[60]    +2.769
STD_LX[61]   -10.361
STD_LY[61]   -39.940
STD_LZ[61]    +2.641
STD_LX[62]    +9.697
STD_LY[62]   -30.120
STD_LZ[62]    +2.514
STD_LX[63]   -14.792
STD_LY[63]   -30.479
STD_LZ[63]    +2.474
STD_LX[64]   +11.743
STD_LY[64]   -24.907
STD_LZ[64]    +2.300
STD_LX[65]   -10.112
STD_LY[65]   -23.690
STD_LZ[65]    +2.258
STD_LX[66]   +12.878
STD_LY[66]   -18.180
STD_LZ[66]    +2.119
STD_LX[67]   -10.507
STD_LY[67]   -18.680
STD_LZ[67]    +2.140
STD_LX[68]    +9.074
STD_LY[68]   -11.835
STD_LZ[68]    +1.859
STD_LX[69]   -11.091
STD_LY[69]   -13.709
STD_LZ[69]    +2.005
STD_LX[70]   +10.509
STD_LY[70]    -7.090
STD_LZ[70]    +1.736
STD_LX[71]   -11.530
STD_LY[71]    -8.714
STD_LZ[71]    +1.814
STD_LX[72]   +11.094
STD_LY[72]    -2.057
STD_LZ[72]    +1.524
STD_LX[73]   -12.109
STD_LY[73]    +1.252
STD_LZ[73]    +1.469
STD_LX[74]    +6.613
STD_LY[74]    +6.787
STD_LZ[74]    +1.312
STD_LX[75]    -9.575
STD_LY[75]    +6.940
STD_LZ[75]    +1.326
STD_LX[76]    +9.266
STD_LY[76]   +10.992
STD_LZ[76]    +1.097
STD_LX[77]    -9.136
STD_LY[77]   +12.893
STD_LZ[77]    +1.158
STD_LX[78]   +11.308
STD_LY[78]   +17.891
STD_LZ[78]    +0.866
STD_LX[79]   -11.051
STD_LY[79]   +17.503
STD_LZ[79]    +0.933
STD_LX[80]   +10.741
STD_LY[80]   +23.116
STD_LZ[80]    +0.714
STD_LX[81]   -12.771
STD_LY[81]   +24.871
STD_LZ[81]    +0.653
STD_LX[82]   +11.968
STD_LY[82]   +30.376
STD_LZ[82]    +0.408
STD_LX[83]   -10.945
STD_LY[83]   +29.392
STD_LZ[83]    +0.542
STD_LX[84]   +13.301
STD_LY[84]   +36.010
STD_LZ[84]    +0.275
STD_LX[85]    -8.671
STD_LY[85]   +34.357
STD_LZ[85]    +0.385
STD_LX[86]   +11.979
STD_LY[86]   +44.328
STD_LZ[86]    +0.012
STD_LX[87]   -10.996
STD_LY[87]   +41.927
STD_LZ[87]    +0.181
STD_LX[88]   +13.665
STD_LY[88]   +51.406
STD_LZ[88]    -0.077
STD_LX[89]   -15.599
STD_LY[89]   +52.298
STD_LZ[89]    -0.079
STD_LX[90]   +18.794
STD_LY[90]   -46.282
STD_LZ[90]    +2.945
STD_LX[91]   -16.106
STD_LY[91]   -46.721
STD_LZ[91]    +2.961
STD_LX[92]   +14.620
STD_LY[92]   -42.065
STD_LZ[92]    +2.837
STD_LX[93]   -17.631
STD_LY[93]   -40.957
STD_LZ[93]    +2.712
STD_LX[94]   +14.402
STD_LY[94]   -33.730
STD_LZ[94]    +2.739
STD_LX[95]   -16.275
STD_LY[95]   -36.134
STD_LZ[95]    +2.644
STD_LX[96]   +16.806
STD_LY[96]   -27.875
STD_LZ[96]    +2.401
STD_LX[97]   -17.441
STD_LY[97]   -26.162
STD_LZ[97]    +2.377
STD_LX[98]   +17.446
STD_LY[98]   -20.610
STD_LZ[98]    +2.172
STD_LX[99]   -14.845
STD_LY[99]   -21.896
STD_LZ[99]    +2.209
STD_LX[100]   +16.662
STD_LY[100]   -14.851
STD_LZ[100]    +1.983
STD_LX[101]   -15.178
STD_LY[101]   -16.874
STD_LZ[101]    +2.119
STD_LX[102]   +13.970
STD_LY[102]   -10.716
STD_LZ[102]    +1.842
STD_LX[103]   -16.177
STD_LY[103]   -11.568
STD_LZ[103]    +1.998
STD_LX[104]   +15.712
STD_LY[104]    -5.347
STD_LZ[104]    +1.656
STD_LX[105]   -14.922
STD_LY[105]    -5.034
STD_LZ[105]    +1.808
STD_LX[106]   +13.427
STD_LY[106]    +2.680
STD_LZ[106]    +1.405
STD_LX[107]   -16.280
STD_LY[107]    +3.998
STD_LZ[107]    +1.499
STD_LX[108]   +13.358
STD_LY[108]    +7.672
STD_LZ[108]    +1.216
STD_LX[109]   -13.511
STD_LY[109]   +10.058
STD_LZ[109]    +1.210
STD_LX[110]   +13.775
STD_LY[110]   +13.474
STD_LZ[110]    +1.026
STD_LX[111]   -16.685
STD_LY[111]   +15.504
STD_LZ[111]    +1.131
STD_LX[112]   +15.708
STD_LY[112]   +22.027
STD_LZ[112]    +0.745
STD_LX[113]   -16.086
STD_LY[113]   +20.967
STD_LZ[113]    +0.901
STD_LX[114]   +16.652
STD_LY[114]   +28.583
STD_LZ[114]    +0.485
STD_LX[115]   -16.439
STD_LY[115]   +29.244
STD_LZ[115]    +0.554
STD_LX[116]   +17.948
STD_LY[116]   +33.397
STD_LZ[116]    +0.262
STD_LX[117]   -13.763
STD_LY[117]   +33.480
STD_LZ[117]    +0.455
STD_LX[118]   +15.412
STD_LY[118]   +40.551
STD_LZ[118]    +0.147
STD_LX[119]   -15.968
STD_LY[119]   +38.293
STD_LZ[119]    +0.311
STD_LX[120]   +17.366
STD_LY[120]   +47.853
STD_LZ[120]    -0.084
STD_LX[121]   -18.961
STD_LY[121]   +44.288
STD_LZ[121]    +0.092
STD_LX[122]   +23.622
STD_LY[122]   -44.916
STD_LZ[122]    +2.828
STD_LX[123]   -25.670
STD_LY[123]   -43.331
STD_LZ[123]    +2.794
STD_LX[124]   +18.950
STD_LY[124]   -36.970
STD_LZ[124]    +2.747
STD_LX[125]   -22.331
STD_LY[125]   -36.527
STD_LZ[125]    +2.677
STD_LX[126]   +20.664
STD_LY[126]   -32.370
STD_LZ[126]    +2.500
STD_LX[127]   -19.651
STD_LY[127]   -32.303
STD_LZ[127]    +2.562
STD_LX[128]   +23.475
STD_LY[128]   -25.306
STD_LZ[128]    +2.288
STD_LX[129]   -21.645
STD_LY[129]   -21.140
STD_LZ[129]    +2.257
STD_LX[130]   +22.422
STD_LY[130]   -19.809
STD_LZ[130]    +2.108
STD_LX[131]   -19.840
STD_LY[131]   -14.932
STD_LZ[131]    +2.070
STD_LX[132]   +21.780
STD_LY[132]   -14.856
STD_LZ[132]    +1.955
STD_LX[133]   -22.692
STD_LY[133]   -10.753
STD_LZ[133]    +1.969
STD_LX[134]   +21.946
STD_LY[134]    -7.931
STD_LZ[134]    +1.749
STD_LX[135]   -22.081
STD_LY[135]    -5.310
STD_LZ[135]    +1.715
STD_LX[136]   +19.897
STD_LY[136]    -2.647
STD_LZ[136]    +1.550
STD_LX[137]   -19.641
STD_LY[137]    +0.323
STD_LZ[137]    +1.614
STD_LX[138]   +19.740
STD_LY[138]    +3.627
STD_LZ[138]    +1.314
STD_LX[139]   -22.366
STD_LY[139]    +6.818
STD_LZ[139]    +1.432
STD_LX[140]   +19.485
STD_LY[140]   +10.000
STD_LZ[140]    +1.145
STD_LX[141]   -20.834
STD_LY[141]   +11.593
STD_LZ[141]    +1.289
STD_LX[142]   +18.517
STD_LY[142]   +15.186
STD_LZ[142]    +1.010
STD_LX[143]   -20.876
STD_LY[143]   +18.723
STD_LZ[143]    +1.056
STD_LX[144]   +20.924
STD_LY[144]   +25.277
STD_LZ[144]    +0.577
STD_LX[145]   -21.605
STD_LY[145]   +26.403
STD_LZ[145]    +0.806
STD_LX[146]   +22.693
STD_LY[146]   +29.929
STD_LZ[146]    +0.380
STD_LX[147]   -21.761
STD_LY[147]   +31.566
STD_LZ[147]    +0.600
STD_LX[148]   +22.412
STD_LY[148]   +35.842
STD_LZ[148]    +0.151
STD_LX[149]   -20.809
STD_LY[149]   +36.612
STD_LZ[149]    +0.390
STD_LX[150]   +24.620
STD_LY[150]   +46.137
STD_LZ[150]    -0.129
STD_LX[151]   -25.058
STD_LY[151]   +47.762
STD_LZ[151]    +0.135
STD_LX[152]   +29.047
STD_LY[152]   -38.425
STD_LZ[152]    +2.669
STD_LX[153]   -28.816
STD_LY[153]   -37.441
STD_LZ[153]    +2.704
STD_LX[154]   +26.813
STD_LY[154]   -33.107
STD_LZ[154]    +2.598
STD_LX[155]   -27.056
STD_LY[155]   -30.533
STD_LZ[155]    +2.403
STD_LX[156]   +28.348
STD_LY[156]   -28.265
STD_LZ[156]    +2.377
STD_LX[157]   -22.802
STD_LY[157]   -26.433
STD_LZ[157]    +2.369
STD_LX[158]   +28.127
STD_LY[158]   -23.055
STD_LZ[158]    +2.197
STD_LX[159]   -26.421
STD_LY[159]   -23.003
STD_LZ[159]    +2.331
STD_LX[160]   +27.095
STD_LY[160]   -16.707
STD_LZ[160]    +2.017
STD_LX[161]   -24.456
STD_LY[161]   -17.033
STD_LZ[161]    +2.087
STD_LX[162]   +25.519
STD_LY[162]   -11.556
STD_LZ[162]    +1.848
STD_LX[163]   -26.537
STD_LY[163]    -7.510
STD_LZ[163]    +1.847
STD_LX[164]   +24.916
STD_LY[164]    -2.778
STD_LZ[164]    +1.555
STD_LX[165]   -28.128
STD_LY[165]    -2.681
STD_LZ[165]    +1.707
STD_LX[166]   +25.451
STD_LY[166]    +3.755
STD_LZ[166]    +1.348
STD_LX[167]   -25.552
STD_LY[167]    +2.857
STD_LZ[167]    +1.571
STD_LX[168]   +24.262
STD_LY[168]    +8.614
STD_LZ[168]    +1.177
STD_LX[169]   -26.024
STD_LY[169]   +12.446
STD_LZ[169]    +1.385
STD_LX[170]   +25.142
STD_LY[170]   +14.432
STD_LZ[170]    +0.975
STD_LX[171]   -26.500
STD_LY[171]   +17.386
STD_LZ[171]    +1.151
STD_LX[172]   +29.113
STD_LY[172]   +22.236
STD_LZ[172]    +0.739
STD_LX[173]   -25.149
STD_LY[173]   +22.994
STD_LZ[173]    +0.909
STD_LX[174]   +26.906
STD_LY[174]   +26.732
STD_LZ[174]    +0.474
STD_LX[175]   -26.497
STD_LY[175]   +28.278
STD_LZ[175]    +0.737
STD_LX[176]   +29.087
STD_LY[176]   +31.171
STD_LZ[176]    +0.302
STD_LX[177]   -27.757
STD_LY[177]   +33.677
STD_LZ[177]    +0.540
STD_LX[178]   +29.309
STD_LY[178]   +37.954
STD_LZ[178]    +0.012
STD_LX[179]   -30.180
STD_LY[179]   +40.293
STD_LZ[179]    +0.327
STD_LX[180]   +35.185
STD_LY[180]   -39.441
STD_LZ[180]    +2.680
STD_LX[181]   -32.816
STD_LY[181]   -41.843
STD_LZ[181]    +2.752
STD_LX[182]   +34.381
STD_LY[182]   -32.168
STD_LZ[182]    +2.472
STD_LX[183]   -33.813
STD_LY[183]   -32.414
STD_LZ[183]    +2.483
STD_LX[184]   +32.637
STD_LY[184]   -25.632
STD_LZ[184]    +2.274
STD_LX[185]   -31.386
STD_LY[185]   -25.415
STD_LZ[185]    +2.307
STD_LX[186]   +31.991
STD_LY[186]   -17.750
STD_LZ[186]    +2.070
STD_LX[187]   -29.403
STD_LY[187]   -17.674
STD_LZ[187]    +2.138
STD_LX[188]   +30.670
STD_LY[188]   -11.448
STD_LZ[188]    +1.854
STD_LX[189]   -31.532
STD_LY[189]   -11.586
STD_LZ[189]    +2.035
STD_LX[190]   +29.095
STD_LY[190]    -5.376
STD_LZ[190]    +1.619
STD_LX[191]   -34.995
STD_LY[191]    -6.982
STD_LZ[191]    +1.812
STD_LX[192]   +30.901
STD_LY[192]    -0.666
STD_LZ[192]    +1.549
STD_LX[193]   -30.592
STD_LY[193]    +1.801
STD_LZ[193]    +1.581
STD_LX[194]   +29.695
STD_LY[194]    +6.443
STD_LZ[194]    +1.238
STD_LX[195]   -29.187
STD_LY[195]    +8.463
STD_LZ[195]    +1.476
STD_LX[196]   +30.853
STD_LY[196]   +11.314
STD_LZ[196]    +1.074
STD_LX[197]   -33.489
STD_LY[197]   +13.103
STD_LZ[197]    +1.322
STD_LX[198]   +31.936
STD_LY[198]   +16.216
STD_LZ[198]    +0.928
STD_LX[199]   -32.462
STD_LY[199]   +18.038
STD_LZ[199]    +1.211
STD_LX[200]   +33.023
STD_LY[200]   +27.100
STD_LZ[200]    +0.480
STD_LX[201]   -30.597
STD_LY[201]   +25.631
STD_LZ[201]    +0.883
STD_LX[202]   +33.327
STD_LY[202]   +35.012
STD_LZ[202]    +0.184
STD_LX[203]   -32.628
STD_LY[203]   +32.437
STD_LZ[203]    +0.567
STD_LX[204]   +33.893
STD_LY[204]   +39.949
STD_LZ[204]    -0.006
STD_LX[205]   -35.119
STD_LY[205]   +39.387
STD_LZ[205]    +0.354
STD_LX[206]   -36.649
STD_LY[206]   -36.472
STD_LZ[206]    +2.667
STD_LX[207]   +37.328
STD_LY[207]   -27.243
STD_LZ[207]    +2.292
STD_LX[208]   -39.699
STD_LY[208]   -29.825
STD_LZ[208]    +2.455
STD_LX[209]   +35.807
STD_LY[209]   -21.016
STD_LZ[209]    +2.092
STD_LX[210]   -35.504
STD_LY[210]   -22.660
STD_LZ[210]    +2.285
STD_LX[211]   +37.040
STD_LY[211]   -14.397
STD_LZ[211]    +1.937
STD_LX[212]   -35.087
STD_LY[212]   -17.617
STD_LZ[212]    +2.152
STD_LX[213]   +36.166
STD_LY[213]    -8.423
STD_LZ[213]    +1.766
STD_LX[214]   -37.205
STD_LY[214]   -12.673
STD_LZ[214]    +1.980
STD_LX[215]   +38.546
STD_LY[215]    -2.728
STD_LZ[215]    +1.561
STD_LX[216]   -34.062
STD_LY[216]    -2.057
STD_LZ[216]    +1.753
STD_LX[217]   +36.542
STD_LY[217]    +3.168
STD_LZ[217]    +1.357
STD_LX[218]   -35.740
STD_LY[218]    +3.757
STD_LZ[218]    +1.621
STD_LX[219]   +36.994
STD_LY[219]   +10.021
STD_LZ[219]    +1.194
STD_LX[220]   -36.796
STD_LY[220]    +8.816
STD_LZ[220]    +1.446
STD_LX[221]   +38.696
STD_LY[221]   +15.921
STD_LZ[221]    +0.955
STD_LX[222]   -38.937
STD_LY[222]   +14.198
STD_LZ[222]    +1.270
STD_LX[223]   +36.721
STD_LY[223]   +20.530
STD_LZ[223]    +0.764
STD_LX[224]   -35.601
STD_LY[224]   +22.362
STD_LZ[224]    +0.961
STD_LX[225]   +37.370
STD_LY[225]   +30.007
STD_LZ[225]    +0.440
STD_LX[226]   -35.852
STD_LY[226]   +28.440
STD_LZ[226]    +0.763
STD_LX[227]   +43.097
STD_LY[227]   -27.588
STD_LZ[227]    +2.396
STD_LX[228]   -40.542
STD_LY[228]   -22.447
STD_LZ[228]    +2.282
STD_LX[229]   +40.879
STD_LY[229]   -22.745
STD_LZ[229]    +2.163
STD_LX[230]   -41.573
STD_LY[230]   -17.393
STD_LZ[230]    +2.115
STD_LX[231]   +41.945
STD_LY[231]   -15.744
STD_LZ[231]    +1.991
STD_LX[232]   -44.608
STD_LY[232]   -12.214
STD_LZ[232]    +2.032
STD_LX[233]   +40.928
STD_LY[233]   -10.160
STD_LZ[233]    +1.862
STD_LX[234]   -40.810
STD_LY[234]    -8.142
STD_LZ[234]    +1.885
STD_LX[235]   +43.975
STD_LY[235]    -2.184
STD_LZ[235]    +1.507
STD_LX[236]   -39.629
STD_LY[236]    +0.256
STD_LZ[236]    +1.699
STD_LX[237]   +42.425
STD_LY[237]    +3.460
STD_LZ[237]    +1.286
STD_LX[238]   -41.951
STD_LY[238]    +4.692
STD_LZ[238]    +1.528
STD_LX[239]   +41.849
STD_LY[239]   +11.139
STD_LZ[239]    +1.153
STD_LX[240]   -43.194
STD_LY[240]   +10.904
STD_LZ[240]    +1.395
STD_LX[241]   +43.542
STD_LY[241]   +16.927
STD_LZ[241]    +0.881
STD_LX[242]   -40.579
STD_LY[242]   +20.175
STD_LZ[242]    +1.050
STD_LX[243]   +41.488
STD_LY[243]   +23.720
STD_LZ[243]    +0.624
STD_LX[244]   -39.793
STD_LY[244]   +25.152
STD_LZ[244]    +0.940
STD_LX[245]   +46.720
STD_LY[245]   -19.949
STD_LZ[245]    +2.091
STD_LX[246]   -47.722
STD_LY[246]   -16.779
STD_LZ[246]    +2.159
STD_LX[247]   +47.370
STD_LY[247]   -12.401
STD_LZ[247]    +1.854
STD_LX[248]   -49.222
STD_LY[248]    -7.222
STD_LZ[248]    +1.913
STD_LX[249]   +47.043
STD_LY[249]    -7.410
STD_LZ[249]    +1.677
STD_LX[250]   -48.592
STD_LY[250]    -2.249
STD_LZ[250]    +1.717
STD_LX[251]   +49.283
STD_LY[251]    -0.376
STD_LZ[251]    +1.415
STD_LX[252]   -48.237
STD_LY[252]    +2.938
STD_LZ[252]    +1.572
STD_LX[253]   +48.643
STD_LY[253]    +5.271
STD_LZ[253]    +1.278
STD_LX[254]   -47.373
STD_LY[254]   +13.705
STD_LZ[254]    +1.345
STD_LX[255]   +48.814
STD_LY[255]   +11.217
STD_LZ[255]    +1.178
STD_LX[256]   -47.094
STD_LY[256]   +18.685
STD_LZ[256]    +1.081
STD_LX[257]   -56.028    # LEDA Outrigger #1
STD_LY[257]  +202.187
STD_LZ[257]    -5.687 
STD_LX[258]  +338.911    # RTA (LEDA Outrigger #4)
STD_LY[258]   +19.778
STD_LZ[258]    +1.670
STD_LX[259]  +405.278    # LEDA Outrigger #3
STD_LY[259]  +167.840
STD_LZ[259]    -1.462
STD_LX[260]  +167.559    # LEDA Outrigger #2
STD_LY[260]  +295.101
STD_LZ[260]    -5.692

# ------------------------------------
